id,title,rating,description,Independent Movies,Anime Features,TV Dramas,Stand-Up Comedy,Romantic Movies,Anime Series,Action & Adventure,Movies,International Movies,Stand-Up Comedy & Talk Shows,Sports Movies,LGBTQ Movies,TV Horror,TV Thrillers,Reality TV,Sci-Fi & Fantasy,Crime TV Shows,Docuseries,TV Mysteries,British TV Shows,Dramas,Kids' TV,Korean TV Shows,Romantic TV Shows,TV Comedies,Teen TV Shows,Cult Movies,Science & Nature TV,Documentaries,Music & Musicals,Thrillers,TV Sci-Fi & Fantasy,International TV Shows,TV Shows,TV Action & Adventure,Horror Movies,Spanish-Language TV Shows,Faith & Spirituality,Classic & Cult TV,Comedies,Classic Movies,Children & Family Movies
s11,"Vendetta: Truth, Lies and The Mafia",TV-MA,sicili boast bold antimafia coalit happen tri bring organ crime accus crimin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s12,Bangkok Breaking,TV-MA,struggl earn live bangkok man join emerg rescu servic realiz must unravel citywid conspiraci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
s13,Je Suis Karl,TV-MA,famili murder terrorist bomb young woman unknowingli lure join group kill,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s14,Confessions of an Invisible Girl,TV-PG,clever sociallyawkward tetê join new school shell anyth fit queen bee among classmat idea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
s15,Crime Stories: India Detectives,TV-MA,camera follow bengaluru polic job offer rare glimps complex challeng inner work four major crime investig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s16,Dear White People,TV-MA,student color navig daili slight slipperi polit life ivi leagu colleg that nearli postraci think,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,TV-MA,declassifi document reveal postwwii life otto skorzeni close hitler alli escap spain becam advis world presid,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s18,Falsa identidad,TV-MA,stranger diego isabel flee home mexico pretend marri coupl escap drugdeal enemi abus husband,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
s19,Intrusion,TV-14,deadli home invas coupl new dream hous traumat wife search answer learn real danger begin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
s20,Jaguar,TV-MA,1960 holocaust survivor join group selftrain spi seek justic nazi flee spain hide wwii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV-14,late 1970 accus serial rapist claim multipl person control behavior set legal odyssey captiv america,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s22,Resurrection: Ertugrul,TV-14,good deed unwittingli endang clan 13thcenturi turkish warrior agre fight sultan enemi exchang new tribal land,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
s23,Avvai Shanmughi,TV-PG,newli divorc deni visit right daughter dote father disguis grayhair nanni order spend time,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,TV-Y,arcad game sled day hiccup cure cori carson curiou littl sister chrissi speed fun adventur town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s25,Jeans,TV-14,father man love insist twin son marri twin sister woman creat alter ego might bit convinc,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s26,Love on the Spectrum,TV-14,find love hard anyon young adult autism spectrum explor unpredict world date even complic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s27,Minsara Kanavu,TV-PG,tangl love triangl ensu man fall woman studi becom nun fall friend enlist help pursu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
s28,Grown Ups,PG-13,mourn loss belov junior high basketbal coach five middleag pal reunit lake hous rediscov joy kid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s29,Dark Skies,PG-13,famili idyl suburban life shatter alien forc invad home struggl convinc other deadli threat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
s30,Paranoia,PG-13,blackmail compani ceo lowlevel employe find forc spi bosss rival former mentor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
s31,Ankahi Kahaniya,TV-14,big citi life buzz around lone soul discov surpris sourc connect companionship three tale love loss long,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s32,Chicago Party Aunt,TV-MA,chicago parti aunt dian idol troublemak talent avoid adulthood soft spot soulsearch nephew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s33,Sex Education,TV-MA,insecur oti answer come sex advic thank therapist mom rebel maev propos school sextherapi clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s34,Squid Game,TV-MA,hundr cashstrap player accept strang invit compet children game insid tempt prize await deadli high stake,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s35,Tayo and Little Wizards,TV-Y7,tayo speed adventur friend get kidnap evil magician invad citi search magic gemston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s36,The Father Who Moves Mountains,TV-MA,son goe miss snowi hike mountain retir intellig offic stop noth risk everyth find,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
s37,The Stronghold,TV-MA,tire smalltim grind three marseil cop get chanc bust major drug network line blur key inform make big ask,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s38,Angry Birds,TV-Y7,bird red chuck feather friend lot adventur guard egg nest peski pig keep tri steal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s39,Birth of the Dragon,PG-13,young bruce lee anger kung fu traditionalist teach outsid lead showdown shaolin master film base real event,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s40,Chhota Bheem,TV-Y7,brave energet littl boy superhuman power lead friend excit adventur guard fellow dholakpur villag evil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s41,He-Man and the Masters of the Universe,TV-Y7,mighti teen adam heroic squad misfit discov legendari power grayskul destini defend eternia sinist skeletor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
s42,Jaws,PG,insati great white shark terror amiti island polic chief oceanograph grizzl shark hunter seek destroy beast,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
s43,Jaws 2,PG,four year last deadli shark attack polic chief martin brodi fight protect amiti island anoth killer great white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
s44,Jaws 3,PG,staff marin theme park tri captur young great white shark discov mother invad enclosur blood,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
s45,Jaws: The Revenge,PG-13,anoth deadli shark attack ellen brodi enough amiti island move caribbean great white shark follow,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
s46,My Heroes Were Cowboys,PG,robin wiltshir pain childhood rescu western live frontier dream train hors love big screen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s47,Safe House,R,young cia oper matt weston must get danger crimin agenc safe hous that come attack get secur locat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s48,The Smart Money Woman,TV-MA,five glamor millenni strive success juggl career financ love friendship base ares ugwu 2016 bestsel novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s49,Training Day,R,rooki cop one day prove veteran lapd narcot offic receiv crash cours mentor question brand justic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
s50,Castle and Castle,TV-MA,pair highpow success lawyer find defend opposit interest justic system caus strain happi marriag,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s51,Dharmakshetra,TV-PG,ancient great war god chitragupta overse trial determin battl true hero villain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,TV-14,biggest foe seemingli defeat inuyasha friend return everyday life peac soon shatter emerg new enemi,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,TV-14,great dog demon beaqueath one three sword fang two son evil power third sword awaken,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s54,InuYasha the Movie 4: Fire on the Mystic Island,TV-PG,ai young halfdemon escap horai island tri help peopl return potenti savior inuyasha sesshomaru kikyo,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s55,InuYasha the Movie: Affections Touching Across Time,TV-PG,power demon seal away 200 year demon son awaken fate world jeopardi,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s56,Nailed It,TV-PG,home baker terribl track record take crack recreat edibl masterpiec 10000 prize part realiti contest part hot mess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s57,Naruto Shippuden the Movie: Blood Prison,TV-14,mistakenli accus attack fourth raikag ninja naruto imprison impenetr hozuki castl power seal,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s58,Naruto Shippûden the Movie: Bonds,TV-PG,strang ninja ambush villag konohagakur adolesc ninja naruto longmiss pal sasuk save planet,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s59,Naruto Shippûden the Movie: The Will of Fire,TV-PG,four five ninja villag destroy leader one spare tri find true culprit protect land,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s60,Naruto Shippuden: The Movie,TV-PG,adventur adolesc ninja naruto uzumaki continu he task protect priestess demon must die,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s61,Naruto Shippuden: The Movie: The Lost Tower,TV-14,naruto sent recov miss nin rogu manag send 20 year past unit father battl evil,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s62,Naruto the Movie 2: Legend of the Stone of Gelel,TV-PG,mission return miss pet naruto two fellow ninja ambush brutal knight led enigmat temujin,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,TV-PG,exuber ninja naruto team pal sakura kakashi escort princ michiru son hikaru crescent moon kingdom,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s64,Naruto the Movie: Ninja Clash in the Land of Snow,TV-PG,naruto sasuk sakura learn theyll protect actress hurt make next film turn she princess,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s65,Nightbooks,TV-PG,scari stori fan alex must tell spinetingl tale everi night stay trap new friend wick witch magic apart forev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s66,Numberblocks,TV-Y,place call numberland math add ton fun group cheer block work play sing togeth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s67,Raja Rasoi Aur Anya Kahaniyan,TV-G,explor histori flavor region indian cuisin tradit kashmiri feast vegetarian dish gujarat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s68,Saved by the Bell,TV-PG,middl school colleg best friend zack kelli slater jessi screech lisa take high low life togeth hit seri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s69,Schumacher,TV-14,exclus interview archiv footag documentari trace intim portrait seventim formula 1 champion michael schumach,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s70,Stories by Rabindranath Tagore,TV-PG,write nobel prize winner rabindranath tagor come life collect tale set early20thcenturi bengal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s71,Too Hot To Handle: Latino,TV-MA,realiti show singl latin america spain challeng give sex abstin come silver line us100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s72,A StoryBots Space Adventure,TV-Y,join storybot space travel histor inspiration4 mission search answer kid question space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s73,Jack Whitehall: Travels with My Father,TV-MA,jovial comic jack whitehal invit stuffi father michael travel southeast asia attempt strengthen bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s74,King of Boys,TV-MA,power businesswoman polit ambit threaten underworld connect ensu power struggl could cost everyth,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s75,The World's Most Amazing Vacation Rentals,TV-PG,eye everi budget three travel visit vacat rental around globe share expert tip trick realiti seri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s76,You vs. Wild: Out Cold,TV-G,plane crash leav bear amnesia must make choic save miss pilot surviv highstak interact adventur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s77,Yowamushi Pedal,TV-14,timid animelov teen get drawn school cycl club new friend help face tough challeng develop race talent,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s78,Little Singham - Black Shadow,TV-Y7,kid cop littl singham lose superpow tri stop demon kaal new evil plan inner strength help defeat enemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
s79,Tughlaq Durbar,TV-14,bud politician deviou plan rise rank unexpect new presenc begin interfer everi crook move,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s80,Tughlaq Durbar (Telugu),TV-14,bud politician deviou plan rise rank unexpect new presenc begin interfer everi crook move,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s81,Firedrake the Silver Dragon,TV-Y7,home threaten human young dragon summon courag seek mythic paradis dragon live peac fli free,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s82,Kate,R,slip fatal poison final job ruthless assassin work tokyo less 24 hour find order hit exact reveng,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s83,Lucifer,TV-14,bore lord hell devil reloc lo angel open nightclub form connect homicid detect,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s84,Metal Shop Masters,TV-MA,competit show group metal artist torch cut weld epic badass creation harden steel one win 50000 prize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s85,Omo Ghetto: the Saga,TV-MA,twin reunit goodheart femal gangster uptight rich sister take famili crime cop troubl follow,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s86,Pokémon Master Journeys: The Series,TV-Y7,ash battl way world coron seri goh continu quest catch everi pokémon togeth theyr journey adventur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s87,Prey,TV-MA,hike trip wild turn desper bid surviv five friend run mysteri shooter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
s88,Titipo Titipo,TV-Y,titipo train prove he got take help folk train villag ride rail safe reliabl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s89,Blood Brothers: Malcolm X & Muhammad Ali,PG-13,chanc meet tragic fallout malcolm x muhammad ali extraordinari bond crack weight distrust shift ideal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s90,Mighty Raju,TV-Y7,born superhuman abil young raju want use power make world better place mean face plenti challeng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s91,Paradise Hills,TV-MA,uma wake lush tropic facil design turn will girl perfect ladi that bad enough real purpos even wors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
s92,The Women and the Murderer,TV-14,documentari trace captur serial killer guy georg tireless work two women polic chief victim mother,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s93,Into the Night,TV-MA,passeng crew aboard hijack overnight flight scrambl outrac sun mysteri cosmic event wreak havoc world,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s94,JJ+E,TV-MA,elisabeth johnjohn live citi inhabit differ world passion first love break class cultur barrier,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s95,Show Dogs,PG,rough tough polic dog must go undercov fbi agent prim proper pet dog show save babi panda illeg sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
s96,The Circle,TV-MA,statu strategi collid social experi competit show onlin player flirt befriend catfish way toward 100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
