type,title,country,date_added,release_year,rating,duration,listed_in,description,target_ages
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,United States,"September 22, 2021",2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",late 1970 accus serial rapist claim multipl person control behavior set legal odyssey captiv america,Teens
TV Show,Resurrection: Ertugrul,Turkey,"September 22, 2021",2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",good deed unwittingli endang clan 13thcenturi turkish warrior agre fight sultan enemi exchang new tribal land,Teens
Movie,Avvai Shanmughi,United States,"September 21, 2021",1996,TV-PG,161 min,"Comedies, International Movies",newli divorc deni visit right daughter dote father disguis grayhair nanni order spend time,Older Kids
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,United States,"September 21, 2021",2021,TV-Y,61 min,Children & Family Movies,arcad game sled day hiccup cure cori carson curiou littl sister chrissi speed fun adventur town,Kids
Movie,Jeans,India,"September 21, 2021",1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",father man love insist twin son marri twin sister woman creat alter ego might bit convinc,Teens
TV Show,Love on the Spectrum,Australia,"September 21, 2021",2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV",find love hard anyon young adult autism spectrum explor unpredict world date even complic,Teens
Movie,Minsara Kanavu,United States,"September 21, 2021",1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",tangl love triangl ensu man fall woman studi becom nun fall friend enlist help pursu,Older Kids
Movie,Grown Ups,United States,"September 20, 2021",2010,PG-13,103 min,Comedies,mourn loss belov junior high basketbal coach five middleag pal reunit lake hous rediscov joy kid,Teens
Movie,Dark Skies,United States,"September 19, 2021",2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",famili idyl suburban life shatter alien forc invad home struggl convinc other deadli threat,Teens
Movie,Paranoia,"United States, India, France","September 19, 2021",2013,PG-13,106 min,Thrillers,blackmail compani ceo lowlevel employe find forc spi bosss rival former mentor,Teens
Movie,Ankahi Kahaniya,United States,"September 17, 2021",2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",big citi life buzz around lone soul discov surpris sourc connect companionship three tale love loss long,Teens
TV Show,Chicago Party Aunt,United States,"September 17, 2021",2021,TV-MA,1 Season,TV Comedies,chicago parti aunt dian idol troublemak talent avoid adulthood soft spot soulsearch nephew,Adults
TV Show,Sex Education,United Kingdom,"September 17, 2021",2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",insecur oti answer come sex advic thank therapist mom rebel maev propos school sextherapi clinic,Adults
TV Show,Squid Game,United States,"September 17, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",hundr cashstrap player accept strang invit compet children game insid tempt prize await deadli high stake,Adults
TV Show,Tayo and Little Wizards,United States,"September 17, 2021",2020,TV-Y7,1 Season,Kids' TV,tayo speed adventur friend get kidnap evil magician invad citi search magic gemston,Older Kids
Movie,The Father Who Moves Mountains,United States,"September 17, 2021",2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",son goe miss snowi hike mountain retir intellig offic stop noth risk everyth find,Adults
Movie,The Stronghold,United States,"September 17, 2021",2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",tire smalltim grind three marseil cop get chanc bust major drug network line blur key inform make big ask,Adults
TV Show,Angry Birds,Finland,"September 16, 2021",2018,TV-Y7,1 Season,"Kids' TV, TV Comedies",bird red chuck feather friend lot adventur guard egg nest peski pig keep tri steal,Older Kids
Movie,Birth of the Dragon,"China, Canada, United States","September 16, 2021",2017,PG-13,96 min,"Action & Adventure, Dramas",young bruce lee anger kung fu traditionalist teach outsid lead showdown shaolin master film base real event,Teens
TV Show,Chhota Bheem,India,"September 16, 2021",2021,TV-Y7,3 Seasons,Kids' TV,brave energet littl boy superhuman power lead friend excit adventur guard fellow dholakpur villag evil,Older Kids
TV Show,He-Man and the Masters of the Universe,United States,"September 16, 2021",2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",mighti teen adam heroic squad misfit discov legendari power grayskul destini defend eternia sinist skeletor,Older Kids
Movie,Jaws,United States,"September 16, 2021",1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",insati great white shark terror amiti island polic chief oceanograph grizzl shark hunter seek destroy beast,Older Kids
Movie,Jaws 2,United States,"September 16, 2021",1978,PG,116 min,"Dramas, Horror Movies, Thrillers",four year last deadli shark attack polic chief martin brodi fight protect amiti island anoth killer great white,Older Kids
Movie,Jaws 3,United States,"September 16, 2021",1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",staff marin theme park tri captur young great white shark discov mother invad enclosur blood,Older Kids
Movie,Jaws: The Revenge,United States,"September 16, 2021",1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",anoth deadli shark attack ellen brodi enough amiti island move caribbean great white shark follow,Teens
Movie,My Heroes Were Cowboys,United States,"September 16, 2021",2021,PG,23 min,Documentaries,robin wiltshir pain childhood rescu western live frontier dream train hors love big screen,Older Kids
Movie,Safe House,"South Africa, United States, Japan","September 16, 2021",2012,R,115 min,Action & Adventure,young cia oper matt weston must get danger crimin agenc safe hous that come attack get secur locat,Adults
TV Show,The Smart Money Woman,United States,"September 16, 2021",2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",five glamor millenni strive success juggl career financ love friendship base ares ugwu 2016 bestsel novel,Adults
Movie,Training Day,United States,"September 16, 2021",2001,R,122 min,"Dramas, Thrillers",rooki cop one day prove veteran lapd narcot offic receiv crash cours mentor question brand justic,Adults
TV Show,Castle and Castle,Nigeria,"September 15, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas",pair highpow success lawyer find defend opposit interest justic system caus strain happi marriag,Adults
TV Show,Dharmakshetra,India,"September 15, 2021",2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",ancient great war god chitragupta overse trial determin battl true hero villain,Older Kids
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,"September 15, 2021",2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",biggest foe seemingli defeat inuyasha friend return everyday life peac soon shatter emerg new enemi,Teens
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,"September 15, 2021",2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",great dog demon beaqueath one three sword fang two son evil power third sword awaken,Teens
Movie,InuYasha the Movie 4: Fire on the Mystic Island,Japan,"September 15, 2021",2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",ai young halfdemon escap horai island tri help peopl return potenti savior inuyasha sesshomaru kikyo,Older Kids
Movie,InuYasha the Movie: Affections Touching Across Time,Japan,"September 15, 2021",2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",power demon seal away 200 year demon son awaken fate world jeopardi,Older Kids
TV Show,Nailed It,United States,"September 15, 2021",2021,TV-PG,6 Seasons,Reality TV,home baker terribl track record take crack recreat edibl masterpiec 10000 prize part realiti contest part hot mess,Older Kids
Movie,Naruto Shippuden the Movie: Blood Prison,Japan,"September 15, 2021",2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",mistakenli accus attack fourth raikag ninja naruto imprison impenetr hozuki castl power seal,Teens
Movie,Naruto Shippûden the Movie: Bonds,Japan,"September 15, 2021",2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",strang ninja ambush villag konohagakur adolesc ninja naruto longmiss pal sasuk save planet,Older Kids
Movie,Naruto Shippûden the Movie: The Will of Fire,Japan,"September 15, 2021",2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",four five ninja villag destroy leader one spare tri find true culprit protect land,Older Kids
Movie,Naruto Shippuden: The Movie,Japan,"September 15, 2021",2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",adventur adolesc ninja naruto uzumaki continu he task protect priestess demon must die,Older Kids
Movie,Naruto Shippuden: The Movie: The Lost Tower,Japan,"September 15, 2021",2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",naruto sent recov miss nin rogu manag send 20 year past unit father battl evil,Teens
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,"September 15, 2021",2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",mission return miss pet naruto two fellow ninja ambush brutal knight led enigmat temujin,Older Kids
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,"September 15, 2021",2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",exuber ninja naruto team pal sakura kakashi escort princ michiru son hikaru crescent moon kingdom,Older Kids
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,"September 15, 2021",2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",naruto sasuk sakura learn theyll protect actress hurt make next film turn she princess,Older Kids
Movie,Nightbooks,United States,"September 15, 2021",2021,TV-PG,103 min,Children & Family Movies,scari stori fan alex must tell spinetingl tale everi night stay trap new friend wick witch magic apart forev,Older Kids
TV Show,Numberblocks,United Kingdom,"September 15, 2021",2021,TV-Y,6 Seasons,Kids' TV,place call numberland math add ton fun group cheer block work play sing togeth,Kids
TV Show,Raja Rasoi Aur Anya Kahaniyan,India,"September 15, 2021",2014,TV-G,1 Season,"Docuseries, International TV Shows",explor histori flavor region indian cuisin tradit kashmiri feast vegetarian dish gujarat,Kids
TV Show,Saved by the Bell,United States,"September 15, 2021",1994,TV-PG,9 Seasons,"Kids' TV, TV Comedies",middl school colleg best friend zack kelli slater jessi screech lisa take high low life togeth hit seri,Older Kids
Movie,Schumacher,United States,"September 15, 2021",2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies",exclus interview archiv footag documentari trace intim portrait seventim formula 1 champion michael schumach,Teens
TV Show,Stories by Rabindranath Tagore,India,"September 15, 2021",2015,TV-PG,1 Season,"International TV Shows, TV Dramas",write nobel prize winner rabindranath tagor come life collect tale set early20thcenturi bengal,Older Kids
TV Show,Too Hot To Handle: Latino,United States,"September 15, 2021",2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",realiti show singl latin america spain challeng give sex abstin come silver line us100000,Adults
Movie,A StoryBots Space Adventure,United States,"September 14, 2021",2021,TV-Y,13 min,Children & Family Movies,join storybot space travel histor inspiration4 mission search answer kid question space,Kids
TV Show,Jack Whitehall: Travels with My Father,United Kingdom,"September 14, 2021",2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows",jovial comic jack whitehal invit stuffi father michael travel southeast asia attempt strengthen bond,Adults
Movie,King of Boys,Nigeria,"September 14, 2021",2018,TV-MA,182 min,"Dramas, International Movies",power businesswoman polit ambit threaten underworld connect ensu power struggl could cost everyth,Adults
TV Show,The World's Most Amazing Vacation Rentals,United States,"September 14, 2021",2021,TV-PG,2 Seasons,Reality TV,eye everi budget three travel visit vacat rental around globe share expert tip trick realiti seri,Older Kids
Movie,You vs. Wild: Out Cold,United States,"September 14, 2021",2021,TV-G,106 min,Children & Family Movies,plane crash leav bear amnesia must make choic save miss pilot surviv highstak interact adventur,Kids
TV Show,Yowamushi Pedal,Japan,"September 14, 2021",2013,TV-14,1 Season,"Anime Series, International TV Shows",timid animelov teen get drawn school cycl club new friend help face tough challeng develop race talent,Teens
Movie,Little Singham - Black Shadow,United States,"September 11, 2021",2021,TV-Y7,48 min,"Children & Family Movies, Comedies",kid cop littl singham lose superpow tri stop demon kaal new evil plan inner strength help defeat enemi,Older Kids
Movie,Tughlaq Durbar,United States,"September 11, 2021",2020,TV-14,145 min,"Comedies, Dramas, International Movies",bud politician deviou plan rise rank unexpect new presenc begin interfer everi crook move,Teens
Movie,Tughlaq Durbar (Telugu),United States,"September 11, 2021",2021,TV-14,145 min,"Comedies, Dramas, International Movies",bud politician deviou plan rise rank unexpect new presenc begin interfer everi crook move,Teens
Movie,Firedrake the Silver Dragon,United States,"September 10, 2021",2021,TV-Y7,93 min,Children & Family Movies,home threaten human young dragon summon courag seek mythic paradis dragon live peac fli free,Older Kids
Movie,Kate,United States,"September 10, 2021",2021,R,106 min,Action & Adventure,slip fatal poison final job ruthless assassin work tokyo less 24 hour find order hit exact reveng,Adults
TV Show,Lucifer,United States,"September 10, 2021",2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",bore lord hell devil reloc lo angel open nightclub form connect homicid detect,Teens
TV Show,Metal Shop Masters,United States,"September 10, 2021",2021,TV-MA,1 Season,Reality TV,competit show group metal artist torch cut weld epic badass creation harden steel one win 50000 prize,Adults
Movie,Omo Ghetto: the Saga,Nigeria,"September 10, 2021",2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",twin reunit goodheart femal gangster uptight rich sister take famili crime cop troubl follow,Adults
TV Show,Pokémon Master Journeys: The Series,United States,"September 10, 2021",2021,TV-Y7,1 Season,"Anime Series, Kids' TV",ash battl way world coron seri goh continu quest catch everi pokémon togeth theyr journey adventur,Older Kids
Movie,Prey,United States,"September 10, 2021",2021,TV-MA,87 min,"International Movies, Thrillers",hike trip wild turn desper bid surviv five friend run mysteri shooter,Adults
TV Show,Titipo Titipo,United States,"September 10, 2021",2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",titipo train prove he got take help folk train villag ride rail safe reliabl,Kids
Movie,Blood Brothers: Malcolm X & Muhammad Ali,United States,"September 9, 2021",2021,PG-13,96 min,"Documentaries, Sports Movies",chanc meet tragic fallout malcolm x muhammad ali extraordinari bond crack weight distrust shift ideal,Teens
TV Show,Mighty Raju,United States,"September 9, 2021",2017,TV-Y7,4 Seasons,Kids' TV,born superhuman abil young raju want use power make world better place mean face plenti challeng,Older Kids
Movie,Paradise Hills,"Spain, United States","September 9, 2021",2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers",uma wake lush tropic facil design turn will girl perfect ladi that bad enough real purpos even wors,Adults
Movie,The Women and the Murderer,France,"September 9, 2021",2021,TV-14,92 min,"Documentaries, International Movies",documentari trace captur serial killer guy georg tireless work two women polic chief victim mother,Teens
TV Show,Into the Night,Belgium,"September 8, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",passeng crew aboard hijack overnight flight scrambl outrac sun mysteri cosmic event wreak havoc world,Adults
Movie,JJ+E,United States,"September 8, 2021",2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies",elisabeth johnjohn live citi inhabit differ world passion first love break class cultur barrier,Adults
Movie,Show Dogs,"United Kingdom, United States","September 8, 2021",2018,PG,90 min,"Children & Family Movies, Comedies",rough tough polic dog must go undercov fbi agent prim proper pet dog show save babi panda illeg sale,Older Kids
TV Show,The Circle,"United States, United Kingdom","September 8, 2021",2021,TV-MA,3 Seasons,Reality TV,statu strategi collid social experi competit show onlin player flirt befriend catfish way toward 100000,Adults
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,"September 7, 2021",2018,TV-MA,97 min,"Documentaries, Music & Musicals",use interview archiv footag documentari chart stori legendari southern rocker focu front man ronni van zant,Adults
TV Show,Kid Cosmic,United States,"September 7, 2021",2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",boy superhero dream come true find five power cosmic stone save day harder imagin cant alon,Older Kids
TV Show,Octonauts: Above & Beyond,United Kingdom,"September 7, 2021",2021,TV-Y,1 Season,"British TV Shows, Kids' TV",octonaut expand explor beyond sea onto land new ride new friend theyll protect habitat anim risk,Kids
TV Show,On the Verge,"France, United States","September 7, 2021",2021,TV-MA,1 Season,"TV Comedies, TV Dramas",four women chef singl mom heiress job seeker dig love work gener side midlif crise prepandem la,Adults
TV Show,Tobot Galaxy Detectives,United States,"September 7, 2021",2019,TV-Y7,2 Seasons,Kids' TV,intergalact devic transform toy car robot tobot work friend solv mysteri protect world evil,Older Kids
Movie,Untold: Breaking Point,United States,"September 7, 2021",2021,TV-MA,80 min,"Documentaries, Sports Movies",pressur continu win tradit american tenni mardi fish face mental health challeng chang life court,Adults
TV Show,Countdown: Inspiration4 Mission to Space,United States,"September 6, 2021",2021,TV-14,1 Season,"Docuseries, Science & Nature TV",train launch land allaccess docuseri ride along inspiration4 crew first allcivilian orbit space mission,Teens
Movie,Shadow Parties,United States,"September 6, 2021",2020,TV-MA,117 min,"Dramas, International Movies, Thrillers",famili face destruct longrun conflict commun pit rel amid attack repris,Adults
TV Show,Tayo the Little Bus,South Korea,"September 6, 2021",2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",learn rout around busi citi tayo littl bu friend discov new sight go excit adventur everi day,Kids
Movie,Angamaly Diaries,India,"September 5, 2021",2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas",grow amidst gang war hometown vincent form entrepreneuri squad end wrong side law,Teens
TV Show,Bunk'd,United States,"September 5, 2021",2021,TV-G,5 Seasons,"Kids' TV, TV Comedies",ross sibl disney hit seri jessi spend summer full fun adventur main camp kikiwaka parent first met,Kids
Movie,A Champion Heart,United States,"September 4, 2021",2018,G,90 min,"Children & Family Movies, Dramas",griev teen must work debt ranch care wound hors teach heal expect,Kids
TV Show,Dive Club,Australia,"September 3, 2021",2021,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows",shore cape merci skill group teen diver investig seri secret sign one mysteri goe miss,Kids
TV Show,La casa de papel,Spain,"September 3, 2021",2021,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",eight thiev take hostag lock royal mint spain crimin mastermind manipul polic carri plan,Adults
TV Show,Money Heist: From Tokyo to Berlin,United States,"September 3, 2021",2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",filmmak actor behind money heist charact like tokyo professor talk emot artist process film seri,Adults
TV Show,Sharkdog,"United States, Singapore","September 3, 2021",2021,TV-Y,1 Season,Kids' TV,half shark half dog big heart belli full fish stick togeth sharkdog human pal max take silli messi adventur,Kids
Movie,Worth,United States,"September 3, 2021",2021,PG-13,119 min,Dramas,wake sept 11 attack lawyer face emot reckon attempt put dollar valu live lost base real event,Teens
Movie,Afterlife of the Party,United States,"September 2, 2021",2021,TV-PG,110 min,"Comedies, Romantic Movies",cassi live parti die freak accid social butterfli need right wrong earth want earn wing,Older Kids
Movie,Anjaam,India,"September 2, 2021",1994,TV-14,143 min,"Dramas, International Movies, Thrillers",wealthi industrialist danger obsess flight attend destroy world take matter hand exact reveng,Teens
Movie,Bright Star,"United Kingdom, Australia, France","September 2, 2021",2009,PG,119 min,"Dramas, Romantic Movies",drama detail passion threeyear romanc romant poet john keat die tragic age 25 great love muse,Older Kids
Movie,Dhanak,India,"September 2, 2021",2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",movielov 10yearold blind littl brother trek meet indian superstar shah rukh khan help get boy eye oper,Older Kids
Movie,Final Account,"United Kingdom, United States","September 2, 2021",2021,PG-13,94 min,Documentaries,documentari stitch togeth neverbeforeseen interview last live gener peopl particip hitler third reich,Teens
Movie,Gurgaon,India,"September 2, 2021",2017,TV-14,106 min,"Dramas, International Movies, Thrillers",daughter wealthi famili return colleg get frosti welcom brother problem plan,Teens
Movie,Here and There,United States,"September 2, 2021",2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies",meet heat exchang social media two peopl differ background begin onlin romanc midst pandem,Adults
TV Show,Heroes of Goo Jit Zu,Australia,"September 2, 2021",2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",meteor crash group zoo anim transform squishi gooey stretchi superhero special power soon take evildo,Older Kids
TV Show,Hotel Del Luna,United States,"September 2, 2021",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",he invit manag hotel dead soul elit hoteli get know establish ancient owner strang world,Teens
Movie,In the Cut,"United Kingdom, Australia, France, United States","September 2, 2021",2003,R,118 min,Thrillers,embark affair cop probe murder young woman insular schoolteach suspect lover involv crime,Adults
TV Show,Luv Kushh,United States,"September 2, 2021",2012,TV-Y7,1 Season,Kids' TV,base last book epic ramayana seri follow endeavor adventur lord rama twin son childhood,Older Kids
TV Show,Pororo - The Little Penguin,South Korea,"September 2, 2021",2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows",tini island pororo penguin fun adventur friend eddi fox loopi beaver pobi polar bear crong dinosaur,Older Kids
TV Show,Q-Force,United States,"September 2, 2021",2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",gay superspi scrappi lgbtq squad fight prove agenc underestim today west hollywood tomorrow world,Adults
Movie,Shikara,India,"September 2, 2021",2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",coupl must strive remain resili region hostil drive belov home refuge camp,Teens
Movie,A Cinderella Story,"United States, Canada","September 1, 2021",2004,PG,95 min,"Children & Family Movies, Comedies",teen sam meet boy dream danc return toil stepmoth diner lost cell phone bring togeth,Older Kids
Movie,Agatha Christie's Crooked House,United States,"September 1, 2021",2017,PG-13,115 min,"Dramas, International Movies, Thrillers",detect investig death exlov grandfath uncov secret tycoon manipul famili,Teens
Movie,An Unfinished Life,"Germany, United States","September 1, 2021",2005,PG-13,108 min,Dramas,griev widow daughter move estrang fatherinlaw wyom time allow heal forgiv,Teens
Movie,Barbie Big City Big Dreams,United States,"September 1, 2021",2021,TV-Y,63 min,"Children & Family Movies, Music & Musicals",summer perform art program new york citi barbi malibu meet barbi brooklyn two becom fast friend,Kids
Movie,Blade Runner: The Final Cut,United States,"September 1, 2021",1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",smogchok dystopian lo angel blade runner rick deckard call retir snuff quartet escap replic,Adults
TV Show,Brave Animated Series,United States,"September 1, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",group superhero set rid world evil realiz may stand side justic base popular comic,Adults
Movie,Chappie,"South Africa, United States","September 1, 2021",2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",futurist societi indestruct robot polic forc keep crime bay lone droid evolv next level artifici intellig,Adults
Movie,Clear and Present Danger,"United States, Mexico","September 1, 2021",1994,PG-13,142 min,"Action & Adventure, Dramas",presid friend murder cia deputi director jack ryan becom unwittingli involv illeg war colombian drug cartel,Teens
Movie,Cliffhanger,"United States, Italy, France, Japan","September 1, 2021",1993,R,113 min,Action & Adventure,ranger gabe walker partner call rescu group strand climber learn climber actual thiev hijack,Adults
Movie,Cold Mountain,"United States, Italy, Romania, United Kingdom","September 1, 2021",2003,R,154 min,"Dramas, Romantic Movies",drama follow wound civil war soldier make long journey home faraway love fight surviv deceas father farm,Adults
Movie,Crocodile Dundee in Los Angeles,"Australia, United States","September 1, 2021",2001,PG,95 min,"Action & Adventure, Comedies",mick crocodil dunde famili land lo angel soon learn lesson american life comedi sequel,Older Kids
Movie,Dear John,United States,"September 1, 2021",2010,PG-13,108 min,"Dramas, Romantic Movies",summer leav us soldier fall colleg student he forc reenlist handwritten letter hold lover togeth,Teens
Movie,Do the Right Thing,United States,"September 1, 2021",1989,R,120 min,"Classic Movies, Comedies, Dramas",swelter day brooklyn simmer racial tension resid rise surfac ignit rage violenc tragedi,Adults
Movie,"El patrón, radiografía de un crimen","Argentina, Venezuela","September 1, 2021",2014,TV-MA,100 min,"Dramas, International Movies, Thrillers",lawyer defend illiter man whose exploit cruel boss work butcher bueno air led tragedi base true case,Adults
Movie,Extraction,"United States, United Kingdom, Canada","September 1, 2021",2015,R,82 min,Action & Adventure,retir cia agent kidnap son govern analyst embark unauthor mission find halt terrorist plot,Adults
Movie,Freedom Writers,"Germany, United States","September 1, 2021",2007,PG-13,124 min,Dramas,atrisk student read classic diari ann frank teacher ask keep journal troubl live,Teens
Movie,Green Lantern,United States,"September 1, 2021",2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",test pilot hal jordan har glow new power good wear otherworldli ring help intergalact forc stop power threat,Teens
