id,title,rating,description,Children & Family Movies,Reality TV,TV Mysteries,Romantic Movies,Stand-Up Comedy & Talk Shows,TV Dramas,Movies,Anime Features,TV Shows,Thrillers,Teen TV Shows,TV Thrillers,TV Sci-Fi & Fantasy,Horror Movies,Sports Movies,Classic Movies,Faith & Spirituality,Stand-Up Comedy,Classic & Cult TV,Dramas,Anime Series,International Movies,TV Horror,TV Comedies,Romantic TV Shows,Korean TV Shows,Science & Nature TV,Kids' TV,Documentaries,International TV Shows,Music & Musicals,Crime TV Shows,Cult Movies,Docuseries,Comedies,Sci-Fi & Fantasy,British TV Shows,Spanish-Language TV Shows,Action & Adventure,Independent Movies,LGBTQ Movies,TV Action & Adventure
s3558,Travis Scott: Look Mom I Can Fly,TV-MA,craft grammynomin album astroworld travi scott juggl controversi fatherhood career high intim documentari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s1078,Shiva: Journey to Plunotaria,TV-Y7,young superhero shiva must use power thwart scheme scientist plan blast earth explos pellet planet plunotaria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s7224,Kon-Tiki,PG-13,five loyal friend tow explor thor heyerdahl sail fragil balsa wood raft along ancient path 4300 mile across pacif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s538,Terrace House: Opening New Doors,TV-14,group young peopl includ chef snowboard ice hockey player gather karuizawa wood pursu dream,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s7796,Prince Jai Aur Dumdaar Viru,TV-Y,princ common best friend keep thwart plot princ scheme ambiti minist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s6121,All the Boys Love Mandy Lane,R,weekend excurs seclud ranch unwelcom visitor begin pick randi admir teenag temptress mandi lane,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s456,Emicida: AmarElo - Live in São Paulo,TV-MA,brazilian rapper emicida bring progress rhyme eclect beat são paulo theatro municip perform hit album amarelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s6654,Dukhtar,TV-14,young mother embark desper quest freedom kidnap 10yearold daughter save tribal marriag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s6816,Functional Fitness,TV-MA,documentari explor challeng transform world highintens fit program eye peopl whove embrac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s7073,Indiana Jones and the Raiders of the Lost Ark,PG,indiana jone hire govern locat legendari ark coven find entir nazi regim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s6734,Fakta Ladh Mhana,TV-14,young man enlist help friend aveng uncl death take power unscrupul politician,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s8439,The New Romantic,TV-MA,fed date debt naïv colleg senior document experi wealthi older man gonzo journal grant,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
s1658,Notes for My Son,TV-MA,battl termin cancer woman write one kind notebook life death love son rememb base true stori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s6046,A Mission in an Old Movie,TV-MA,young man struggl overbear mother look romanc way kickstart show busi career,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s2055,Chef's Table: BBQ,TV-14,emmynomin seri delv juici smoki world barbecu visit acclaim chef pitmast us australia mexico,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
s5178,The Killer,TV-MA,lawless badland reclus cabeleira set discov fate gunman father grow fear assassin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s4154,"Gabriel ""Fluffy"" Iglesias: One Show Fits All",TV-14,gabriel fluffi iglesia discuss teenag son encount snoop dogg chri rock vicent fernández standup special 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s5028,Marseille,TV-MA,longtim mayor marseil prepar hand rein protégé sudden ruthless battl erupt control citi,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s1076,My Love: Six Stories of True Love,TV-PG,six longtim coupl differ part world share decadeslong love tender portrait film cours one year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
s6901,Gun Runners,TV-PG,two roam kenyan bandit attempt chang cours live exchang rifl run shoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s118,Final Account,PG-13,documentari stitch togeth neverbeforeseen interview last live gener peopl particip hitler third reich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s3173,Spirit Riding Free: Spirit of Christmas,TV-Y7,lucki friend must figur get home time christma fall boulder seriou snowstorm derail travel plan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s7833,Ranbhool,TV-MA,believ god envoy troubl young man embark kill spree passion music becom psychot obsess,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1293,Perú: Tesoro escondido,TV-PG,countri steep cultur tradit stretch back 1000 year peru also land surpris natur rich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s621,Droppin' Cash: Los Angeles,TV-MA,complex seri follow paper trail musician athlet lo angel blow stack finer thing life,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s5686,Other People,TV-MA,bad breakup struggl new york comedi writer tri brave face care die mother sacramento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
s7707,Pardes,TV-14,prompt loyalti arjun play matchmak philand foster brother conserv girl wind fall love,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s4815,W. Kamau Bell: Private School Negro,TV-MA,comedian w kamau bell muse parent trump era free speech dustup woke children tv fear go grid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s7517,Mr. Church,PG-13,temporari person chef termin ill singl mother young daughter form unlik bond redefin mean famili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s3978,Superlopez,TV-MA,adapt comic strip juan lópez must balanc offic job heroic feat save love life nativ planet chitón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
s1902,You've Got This,TV-MA,ad creativ success exec great marriag want dad star rise bring someon new home,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s5399,Liar's Dice,TV-MA,woman small mountain villag disobey villag elder set big citi search miss husband,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s1945,Mann,TV-14,smooth talker fall music teacher aboard cruis cruel twist fate hinder plan meet month later,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s2466,Intuition,TV-MA,polic offic pipa work first big case simultan investig boss suspect murder prequel perdida,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s267,The Creative Indians,TV-MA,chef comedian filmmak fashion design india notabl imagin mind share artist journey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
s263,Untold: Deal With the Devil,TV-MA,christi martin broke boundari nose rose box world public persona beli person demon abus threat life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
s7215,Kiss The Series,TV-14,night sande wake discov buddi either taken platon friendship whole new level ruin forev,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s2073,Sex Drive,R,eager hook woman met onlin 18yearold ian embark epic road trip speed straight toward troubl raunchi comedi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s2724,Friendship,TV-14,best friend sinc childhood righteou cop lawyer repres crimin court becom rival fall woman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s8652,Tyson,R,surprisingli emot documentari heavyweight champ mike tyson analyz controversi surround career turbul privat life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s8117,Suite Française,TV-MA,wait news prisonerofwar husband french woman nazioccupi franc reluctantli fall german offic quarter home,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s7353,Love You... Love You Not,TV-14,love triangl get complic femal english tutor unknowingli get hottemp guy offtotheunit state girlfriend,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s6333,Bleed for This,R,devast injuri derail career scrappi world champion boxer vinni pazienza determin make againstallodd comeback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s6408,Call Me Francis,TV-14,path becom pope franci father jorg bergoglio pursu religi vocat countri ravag brutal militari dictatorship,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
s3754,Murder Mystery,PG-13,longawait trip europ new york citi cop hairdress wife scrambl solv baffl murder aboard billionair yacht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s742,Blind Intersections,TV-MA,film follow societ challeng three stranger beirut go unexpect event link fate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s5221,Singapore,TV-PG,employe disappear singapor shyam travel india investig absenc becom entangl deadli plot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s942,Motu Patlu: Mission Moon,TV-Y7,otherworldli enemi turn moon soil gold greedi interest friend motu patlu stop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s5716,La Niña,TV-MA,former colombian guerrilla fighter face challeng reintegr societi tri overcom traumat memori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
s3659,Mauli,TV-14,unconvent polic offic face gang thug tri bring order farflung villag he station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s7431,Mean Dreams,R,desper start new life girlfriend teenag boy steal drug money father happen town corrupt lawman,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s5552,The Tenth Man,TV-MA,spend much adult life new york affabl economist return home bueno air tri reconnect aloof father,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1066,Slasher,TV-MA,rampag serial killer leav carnag wake next victim fight stay aliv horror antholog seri,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8607,Tope: The Bait,TV-14,tale eccentr aristocrat tightrop walk nomad postmanturnedsoothsay unspool visual poem rural life india,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s5580,Burning Sands,TV-MA,promis student zurich open eye hard truth fratern violent haze escal disastr hell night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s5278,#realityhigh,TV-14,nerdi high schooler dani final attract interest longtim crush land cross hair ex social media celebr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s6908,Haapus,TV-14,son astrolog face opposit superstiti father regard scheme launch mango busi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s7609,NOVA: First Face of America,TV-PG,riski expedit underwat cave scientist unearth 13000yearold skeleton gain insight earliest known human america,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s7058,Imagine That,PG,work problem pile businessman discov pathway daughter imaginari world start find solut,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
s2273,Drishyam,TV-14,unexcept man becom murder suspect son highrank polic offici harass daughter goe miss,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8646,Twinsanity,TV-MA,yoga enthusiast begin pull away ident twin sister busi partner lifelong bond turn deadli,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s6623,Dolphin Tale 2,PG,winter dolphin surviv tragic injuri receiv prosthet tail bond orphan babi dolphin belov pool mate die,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s7149,Julius Jr.,TV-Y,paul frank fun artwork come life show follow monkey juliu jr friend explor world help,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s924,Trash Truck,TV-Y,sixyear old hank best pal giant trash truck explor world around fantast adventur anim friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s299,Quam's Money,TV-MA,sequel new money quam secur guard turn multimillionair live good life fortun fall victim fraud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s6838,George of the Jungle 2,PG,marri rais son clumsi apeman georg find jungl kingdom peril realli mean lion challeng throne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s2675,Alelí,TV-MA,mourn father death dysfunct trio sibl must face sell belov childhood beach hous deal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s7841,Rebelde,TV-14,six student exclus prep school scholarship discov music close class divid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
s2036,The Social Dilemma,PG-13,documentarydrama hybrid explor danger human impact social network tech expert sound alarm creation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s5647,Jen Kirkman: Just Keep Livin’?,TV-MA,incis comic jen kirkman get real women bodi valu alon time italian privat tour guid may ghost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s4370,The Christmas Chronicles,TV-PG,accident crash santa sleigh brother sister pull allnight save christma savvi straighttalk st nick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s2108,The Sleepover,TV-PG,parent kidnap crew intern thiev begin wild overnight adventur complet spi gear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
s4882,Manhunt,TV-MA,chines pharmaceut lawyer frame vile crime team sharpwit japanes detect stop danger corpor plot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s4367,Fugitiva,TV-MA,domest abus survivor orchestr elabor decept protect famili power wealthi husband vindict enemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
s801,Mosquita y Mari,TV-14,neighbor mean friend high schooler yolanda mari discov bond attract theyr made studi partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
s5967,15-Aug,TV-14,india independ day zani mishap mumbai chawl disrupt young love stori compel resid unit aid littl boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
s2739,Muqaddar ka Faisla,TV-14,godfear pandit krishna kant lose everyth turn life crime landlord tri rape wife tear famili apart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
s4776,Romina,TV-MA,shock assault inspir horrif violenc group teen encount girl school camp remot spot,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s458,Lift Like a Girl,TV-PG,guidanc relentless coach teen weightlift emerg scrappi train camp egypt compet championship level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s7521,Mr. Woodcock,PG-13,selfhelp author learn mother fallen sadist high school gym teacher tri put stop bud romanc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s7951,Saving Zoë,R,reserv high school freshman act recov diari offer clue secret world could behind sister murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s368,I'm Glad I Did,TV-14,glimps life decadeslong career turkish perform metin akpınar person interview contemporari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s1898,Serious Men,TV-MA,slum dweller spin web lie pursuit upward mobil long crave ruse could especi danger young son,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s6980,Hitler's Steel Beast,TV-14,trace histori hitler armor privat train 15car mobil headquart boast stateoftheart commun antiaircraft cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s5377,Chasing Coral,TV-PG,diver scientist photograph around world mount epic underwat campaign document disappear coral reef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s3844,Away From Home,TV-PG,highachiev 11yearold student embark journey selfdiscoveri school nearbi island grappl tension home,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s6185,Arisan 2,TV-14,group friend reunit vacat amid natur laugh share histori bond difficult truth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s3216,The Accidental Spy,TV-MA,nurs broken heart specialist move london audit realiti tv show unexpectedli turn reallif cartel drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
